adjective,noun,article,adj_article,llama_base_judgment
flat,land,,,rarely
pink,ring,a,a,almost always
boy,pants,,,almost always
popcorn,maker,a,a,rarely
dress,clothes,,,sometimes
school,bus,a,a,rarely
fat,baby,a,a,almost always
furniture,shop,a,a,never
pull,toy,a,a,almost always
brown,squirrel,a,a,often
farm,truck,a,a,often
curry,rice,,,often
vanilla,cookie,a,a,rarely
red,block,a,a,almost always
round,ball,a,a,always
green,chest,a,a,never
people,group,a,a,almost always
train,yard,a,a,rarely
aquarium,car,a,an,never
mural,show,a,a,almost always
daddy,kiss,a,a,often
squid,soda,,,never
red,wing,a,a,sometimes
food,group,a,a,about half the time
thick,head,a,a,always
sweet,pepper,a,a,almost always
yellow,collar,a,a,almost always
yellow,chick,a,a,almost always
striped,fish,a,a,almost always
wooden,spoon,a,a,rarely
red,boot,a,a,almost always
green,money,,,often
fuzzy,tail,a,a,about half the time
purple,color,a,a,almost always
fold,blanket,a,a,often
yellow,bib,a,a,rarely
upstairs,cafe,a,an,sometimes
game,mommy,a,a,almost always
witch,castle,a,a,never
dead,horse,a,a,sometimes
train,piece,a,a,rarely
stroke,room,a,a,rarely
red,circle,a,a,about half the time
thick,marmalade,,,often
rainbow,crayon,a,a,rarely
princess,puzzle,a,a,never
purple,pentagon,a,a,sometimes
flying,horse,a,a,never
orange,planet,a,an,often
glass,house,a,a,rarely
brown,dot,a,a,almost always
screw,driver,a,a,almost always
wet,snow,,,often
solid,door,a,a,almost always
yellow,dinosaur,a,a,sometimes
giant,piece,a,a,never
purple,scribble,a,a,almost always
lego,girl,a,a,often
grey,cloud,a,a,often
dark,pet,a,a,about half the time
daddy,elephant,an,a,rarely
dirty,pamper,a,a,never
town,clerk,a,a,almost always
freeze,pop,a,a,about half the time
naked,baby,a,a,always
wet,glue,,,almost always
farm,dog,a,a,never
alphabet,toy,a,an,never
toast,stick,a,a,about half the time
lace,curtain,a,a,sometimes
meat,pie,a,a,never
lily,pad,a,a,often
blond,girl,a,a,often
dairy,barn,a,a,always
green,casing,a,a,rarely
dead,man,a,a,never
red,pickle,a,a,never
baby,cot,a,a,about half the time
yoyo,ball,a,a,never
fish,animal,an,a,almost always
elephant,leg,a,an,never
table,tennis,,,rarely
skunk,baby,a,a,sometimes
water,tank,a,a,almost always
ant,powder,,,sometimes
brass,plate,a,a,almost always
yellow,tape,a,a,never
head,stand,a,a,never
purple,heart,a,a,almost always
tv,retailer,a,a,almost always
purple,dress,a,a,almost always
broom,sweep,a,a,often
staff,entertainment,,,almost always
car,stair,a,a,rarely
floor,face,a,a,sometimes
bright,man,a,a,almost always
dress,ring,a,a,almost always
bowl,bud,a,a,about half the time
green,mouth,a,a,rarely
strawberry,cream,,,never
dog,house,a,a,never
laughing,baby,a,a,never
mirror,tile,a,a,never
freezing,plant,a,a,almost always
worm,food,,,always
bubble,maker,a,a,always
bubble,soup,,,never
dog,park,a,a,often
fairy,baby,a,a,never
pink,ball,a,a,almost always
classroom,window,a,a,about half the time
purple,snake,a,a,never
mud,line,a,a,rarely
office,group,a,an,often
glass,cover,a,a,sometimes
pet,food,,,rarely
frog,house,a,a,rarely
mouse,driver,a,a,almost always
wet,filter,a,a,never
flip,top,a,a,rarely
red,sand,,,rarely
hot,room,a,a,never
purple,soda,,,never
toy,ship,a,a,always
daddy,book,a,a,rarely
game,contestant,a,a,often
red,bunny,a,a,never
ear,phone,a,an,almost always
dinosaur,sticker,a,a,rarely
green,train,a,a,almost always
dirty,honey,,,rarely
shoe,horn,a,a,rarely
bunny,cloud,a,a,rarely
red,cherry,a,a,often
candy,bag,a,a,never
green,pop,a,a,never
dog,cheese,,,rarely
yellow,dot,a,a,often
cough,medicine,,,often
hot,potato,a,a,rarely
ball,game,a,a,sometimes
mail,person,a,a,always
green,paddle,a,a,rarely
candy,gumball,a,a,about half the time
boy,bear,a,a,often
hind,foot,a,a,almost always
yellow,fish,a,a,about half the time
wet,rag,a,a,sometimes
pink,pillow,a,a,rarely
red,car,a,a,rarely
orange,hippo,a,an,sometimes
brother,tiger,a,a,sometimes
water,toy,a,a,often
green,eye,an,a,almost always
pink,orange,an,a,about half the time
fly,soup,,,never
puppet,house,a,a,never
night,bear,a,a,sometimes
inch,wire,a,an,almost always
bread,pasta,,,rarely
karate,girl,a,a,almost always
nursery,school,a,a,always
red,jeep,a,a,about half the time
pink,tulip,a,a,sometimes
beach,ball,a,a,sometimes
dark,suit,a,a,often
orange,arm,an,an,rarely
stick,bug,a,a,never
kitchen,water,,,often
ground,rice,,,often
carpet,tile,a,a,never
mommy,room,a,a,rarely
brown,paper,a,a,always
bunny,blanket,a,a,rarely
grey,shoe,a,a,rarely
moon,beam,a,a,rarely
red,match,a,a,about half the time
hot,pan,a,a,about half the time
top,shop,a,a,often
pill,pen,a,a,always
pink,purple,,,about half the time
peg,leg,a,a,rarely
frozen,chicken,a,a,about half the time
outside,hallway,a,an,never
doctor,visit,a,a,often
singing,mommy,a,a,never
pretzel,stick,a,a,never
toy,bin,a,a,often
engine,shed,a,an,rarely
princess,cake,a,a,never
trigger,fish,a,a,rarely
kids,day,a,a,almost always
hot,cup,a,a,often
plastic,table,a,a,never
log,book,a,a,rarely
fish,tank,a,a,often
poison,stem,a,a,never
chief,accountant,an,a,almost always
bear,mitten,a,a,about half the time
forty,pound,a,a,almost always
bean,dish,a,a,often
dirty,cloth,a,a,often
green,bean,a,a,sometimes
baby,bear,a,a,sometimes
wet,foot,a,a,about half the time
diamond,button,a,a,about half the time
letter,box,a,a,almost always
swim,shoe,a,a,never
bird,girl,a,a,almost always
battery,game,a,a,rarely
mermaid,hole,a,a,never
dragon,guy,a,a,never
top,hit,a,a,often
round,circle,a,a,always
brown,cookie,a,a,often
fuzzy,ear,an,a,always
broken,toe,a,a,always
fire,man,a,a,often
orange,monkey,a,an,rarely
noodle,worm,a,a,almost always
silver,line,a,a,about half the time
mommy,chair,a,a,sometimes
red,spot,a,a,sometimes
dolly,dress,a,a,often
hummus,bread,,,never
red,fish,a,a,never
apple,barrel,a,an,rarely
plastic,tunnel,a,a,sometimes
red,lid,a,a,rarely
cardboard,cylinder,a,a,never
green,fire,,,never
green,circle,a,a,never
yellow,lid,a,a,sometimes
chalk,duster,a,a,often
sweet,bread,,,rarely
green,cap,a,a,never
meadow,walk,a,a,about half the time
baby,moon,a,a,almost always
hound,letter,a,a,often
pony,piece,a,a,always
water,man,a,a,often
hot,syrup,,,almost always
frozen,pea,a,a,sometimes
shelve,divider,a,a,never
key,ring,a,a,almost always
baby,buggy,a,a,often
people,rug,a,a,almost always
bottom,picture,a,a,sometimes
bathroom,room,a,a,almost always
pink,sword,a,a,rarely
pink,bottom,a,a,never
top,refrigerator,a,a,often
table,honey,,,almost always
dark,bath,a,a,often
tooth,book,a,a,never
daddy,chair,a,a,almost always
leg,room,a,a,sometimes
oat,meal,a,an,almost always
trash,block,a,a,never
bright,red,,,often
potty,chair,a,a,never
dirty,bubble,a,a,almost always
violin,teacher,a,a,rarely
purple,suit,a,a,never
cutting,board,a,a,often
cathedral,choir,a,a,sometimes
yellow,plane,a,a,rarely
astronaut,costume,a,an,never
door,handle,a,a,almost always
pink,block,a,a,almost always
bottom,dollar,a,a,almost always
pink,tunnel,a,a,never
green,knife,a,a,rarely
telephone,call,a,a,almost always
orange,shirt,a,an,almost always
tartar,taste,a,a,almost always
bible,school,a,a,almost always
baby,mama,a,a,about half the time
green,noodle,a,a,sometimes
machinery,catalogue,a,a,about half the time
chicken,noodle,a,a,almost always
top,shelf,a,a,almost always
plastic,wallet,a,a,rarely
square,yard,a,a,rarely
metal,piece,a,a,sometimes
mommy,tiger,a,a,sometimes
yellow,picture,a,a,rarely
computer,person,a,a,often
guy,knight,a,a,almost always
brake,fluid,,,rarely
purple,ketchup,,,never
wall,tile,a,a,often
sister,fight,a,a,almost always
coffee,bean,a,a,rarely
dinosaur,head,a,a,never
solid,block,a,a,almost always
purple,pad,a,a,rarely
hot,balloon,a,a,sometimes
toy,puppy,a,a,rarely
orange,bag,a,an,sometimes
green,scissor,a,a,sometimes
red,cheek,a,a,always
round,tower,a,a,almost always
plastic,glasses,,,never
banana,apple,an,a,rarely
suite,shower,a,a,sometimes
granddad,kiss,a,a,never
broken,bat,a,a,rarely
brick,house,a,a,often
plastic,container,a,a,almost always
peanut,butter,,,rarely
yellow,curtain,a,a,rarely
car,track,a,a,always
animal,book,a,an,sometimes
sailor,collar,a,a,often
post,office,an,a,about half the time
red,knob,a,a,often
orange,soda,,,often
ant,food,,,about half the time
purple,sweater,a,a,sometimes
orange,block,a,an,rarely
purple,leg,a,a,rarely
questionnaire,letter,a,a,never
baby,turtle,a,a,almost always
tee,shirt,a,a,always
water,running,,,never
wheelie,bin,a,a,often
furniture,curtain,a,a,rarely
water,honey,,,often
room,sweet,a,a,always
picture,rail,a,a,almost always
toy,closet,a,a,rarely
honey,butter,,,often
red,toy,a,a,often
standing,wall,a,a,always
bread,roll,a,a,about half the time
brown,hair,,,almost always
red,sky,a,a,sometimes
oil,pot,a,an,almost always
wet,water,,,often
red,tricycle,a,a,often
door,step,a,a,about half the time
purple,bracelet,a,a,often
video,player,a,a,about half the time
baby,bee,a,a,almost always
boy,bike,a,a,rarely
kitchen,window,a,a,never
yellow,orange,an,a,rarely
brown,blanket,a,a,never
red,van,a,a,rarely
hot,roll,a,a,often
bacon,toast,,,rarely
spinach,dip,a,a,almost always
garden,soil,,,always
cough,syrup,,,rarely
elephant,garland,a,an,often
press,office,an,a,never
passenger,car,a,a,often
elephant,weight,a,an,rarely
purple,cranium,a,a,rarely
light,orange,an,a,always
princess,snack,a,a,often
secretary,table,a,a,rarely
ocean,train,a,an,never
asteroid,hit,a,an,often
fat,pig,a,a,often
bible,road,a,a,never
yellow,mommy,a,a,rarely
hot,rice,,,often
dinosaur,artifact,an,a,rarely
mommy,cat,a,a,about half the time
bouncing,ball,a,a,always
game,marble,a,a,sometimes
bear,workshop,a,a,never
upstairs,stair,a,an,never
pee,pod,a,a,often
green,red,,,almost always
country,house,a,a,almost always
plum,soup,,,never
purple,bath,a,a,sometimes
wet,rug,a,a,almost always
hall,lighting,,,often
foot,print,a,a,often
pink,crayon,a,a,rarely
crab,line,a,a,rarely
dog,walk,a,a,almost always
bright,spot,a,a,about half the time
chocolate,lollipop,a,a,almost always
street,shop,a,a,often
dirty,face,a,a,never
furry,platypus,a,a,almost always
mud,water,,,almost always
picture,wall,a,a,always
light,flashing,,,never
outhouse,door,a,an,rarely
microscope,spotlight,a,a,never
paper,shop,a,a,sometimes
red,flap,a,a,sometimes
video,tape,a,a,always
car,door,a,a,almost always
ant,aphid,an,an,almost always
art,museum,a,an,almost always
thick,gland,a,a,rarely
stag,group,a,a,almost always
milk,jug,a,a,about half the time
baby,bird,a,a,rarely
singing,drawer,a,a,rarely
bathing,suit,a,a,never
brass,dart,a,a,rarely
dressing,table,a,a,sometimes
red,bed,a,a,almost always
purple,window,a,a,almost always
spot,check,a,a,about half the time
bear,teddy,a,a,often
banana,tree,a,a,rarely
dogs,barking,,,about half the time
top,drawer,a,a,sometimes
horse,running,,,often
eleven,pound,a,an,almost always
fire,officer,an,a,almost always
weight,bag,a,a,never
whisky,ginger,,,always
red,string,a,a,rarely
icy,mountain,a,an,almost always
orange,rain,,,never
oatmeal,cookie,a,an,sometimes
food,company,a,a,almost always
wooden,floor,a,a,never
strawberry,bar,a,a,rarely
bear,jump,a,a,rarely
banana,mess,a,a,never
farm,house,a,a,about half the time
red,tomato,a,a,about half the time
shop,envelope,an,a,never
bottom,drawer,a,a,often
yellow,school,a,a,almost always
computer,game,a,a,never
doggy,tail,a,a,almost always
melon,ball,a,a,sometimes
tea,room,a,a,rarely
naked,mole,a,a,almost always
bunny,book,a,a,never
bug,spray,a,a,often
brown,train,a,a,rarely
flower,pot,a,a,never
scaly,skin,,,often
hot,dog,a,a,never
red,bike,a,a,often
flat,cheese,,,never
stuffed,animal,an,a,never
diaper,wipe,a,a,rarely
night,plane,a,a,rarely
yellow,bird,a,a,sometimes
pop,opera,an,a,sometimes
tree,house,a,a,rarely
dark,leaf,a,a,often
yellow,mom,a,a,rarely
red,street,a,a,almost always
pink,hair,,,rarely
man,mum,a,a,never
fish,jelly,,,never
bus,park,a,a,almost always
baby,talk,a,a,almost always
orange,guy,a,an,never
thick,mustache,a,a,sometimes
compost,pile,a,a,almost always
press,jacket,a,a,rarely
spider,head,a,a,almost always
green,tie,a,a,never
ear,lobe,a,an,almost always
back,room,a,a,rarely
outside,bird,a,an,almost always
kid,driving,,,never
gold,coffee,,,rarely
honey,pot,a,a,rarely
purple,book,a,a,rarely
wedding,day,a,a,rarely
moon,rover,a,a,often
dark,snake,a,a,sometimes
penny,packet,a,a,sometimes
car,driver,a,a,about half the time
plastic,back,a,a,about half the time
orange,colors,a,an,often
apple,juicer,a,an,always
green,mountain,a,a,almost always
yellow,hippo,a,a,never
hot,mama,a,a,never
red,onion,an,a,rarely
cherry,tomato,a,a,sometimes
doll,house,a,a,rarely
giant,puppet,a,a,almost always
motor,car,a,a,never
dark,lounge,a,a,never
brown,sugar,,,almost always
telephone,ringing,,,often
red,pillow,a,a,never
silver,ship,a,a,never
hot,sundae,a,a,rarely
pink,elephant,an,a,rarely
brown,doggie,a,a,often
yogurt,hair,,,never
kids,honey,,,about half the time
guy,walking,,,sometimes
taller,spoon,a,a,often
pirate,necklace,a,a,rarely
cloudy,day,a,a,about half the time
pink,towel,a,a,rarely
baby,snail,a,a,often
purple,ring,a,a,often
tv,company,a,a,sometimes
sunny,side,a,a,almost always
purple,car,a,a,rarely
green,monkey,a,a,sometimes
broken,door,a,a,rarely
pink,bear,a,a,rarely
home,sign,a,a,often
plastic,mat,a,a,rarely
home,committee,a,a,sometimes
dinosaur,book,a,a,always
male,goldfish,a,a,never
saw,blade,a,a,about half the time
baby,deer,a,a,rarely
vampire,zombie,a,a,almost always
monkey,whisper,a,a,sometimes
bathroom,shop,a,a,never
panel,radiator,a,a,almost always
kitchen,net,a,a,rarely
red,horn,a,a,never
outside,shell,a,an,about half the time
octopus,show,a,an,rarely
racing,pigeon,a,a,about half the time
green,shamrock,a,a,often
land,motorway,a,a,often
pregnant,blond,a,a,about half the time
yellow,scarf,a,a,about half the time
track,record,a,a,about half the time
shovel,scoop,a,a,sometimes
colors,green,,,often
orange,bug,a,an,never
green,lego,a,a,never
crease,mark,a,a,often
green,dish,a,a,rarely
baby,hair,,,often
gold,plate,a,a,rarely
piggy,bank,a,a,rarely
sugar,cube,a,a,sometimes
hay,ride,a,a,almost always
pink,flower,a,a,often
red,rectangle,a,a,almost always
squirt,toy,a,a,never
panel,game,a,a,never
fridge,freezer,a,a,about half the time
lock,stock,,,almost always
naked,child,a,a,almost always
gold,star,a,a,sometimes
gold,band,a,a,sometimes
room,bathroom,a,a,often
ceiling,tile,a,a,never
dirty,swine,a,a,often
trash,yard,a,a,never
apple,book,a,an,never
puffin,nose,a,a,rarely
tv,day,a,a,sometimes
light,car,a,a,often
butterfly,cake,a,a,never
freeze,popsicle,a,a,about half the time
girl,boot,a,a,often
bunny,mask,a,a,often
goose,mama,a,a,never
gas,bill,a,a,rarely
hot,daddy,a,a,almost always
yellow,fuzz,,,almost always
dorsal,fin,a,a,almost always
fairy,pony,a,a,about half the time
singing,voice,a,a,often
purple,rain,,,never
message,machine,a,a,about half the time
bait,shop,a,a,almost always
litter,tray,a,a,almost always
stuffed,mushroom,a,a,about half the time
leather,jacket,a,a,never
teddy,book,a,a,rarely
brown,baby,a,a,almost always
guy,dancing,,,rarely
dressing,gown,a,a,almost always
apple,feast,a,an,never
cracker,sandwich,a,a,almost always
green,cheese,,,never
tiger,costume,a,a,never
butter,sandwich,a,a,rarely
dinosaur,map,a,a,rarely
red,apple,an,a,often
lady,bug,a,a,often
red,barn,a,a,almost always
light,bulb,a,a,about half the time
cookie,jar,a,a,about half the time
tool,box,a,a,rarely
spiky,fish,a,a,sometimes
gingerbread,guy,a,a,rarely
orange,balloon,a,an,never
taller,one,a,a,about half the time
green,doggy,a,a,rarely
tooth,mark,a,a,sometimes
juicy,juice,,,always
dust,rag,a,a,often
day,break,a,a,often
mitten,tree,a,a,rarely
purple,pants,,,rarely
stereo,computer,a,a,almost always
purple,red,,,always
railway,track,a,a,almost always
yellow,roof,a,a,never
brake,pad,a,a,never
pink,hat,a,a,almost always
back,row,a,a,almost always
sleeveless,top,a,a,rarely
red,pepper,a,a,almost always
elbow,hair,,,never
green,egg,an,a,rarely
tank,top,a,a,sometimes
yellow,toe,a,a,sometimes
lady,car,a,a,never
robot,head,a,a,never
shoe,store,a,a,almost always
chap,advertising,,,rarely
daddy,fish,a,a,about half the time
yellow,driver,a,a,always
dog,dirt,,,almost always
quarter,bag,a,a,always
top,handle,a,a,about half the time
choir,boy,a,a,about half the time
brown,mommy,a,a,about half the time
paper,bag,a,a,sometimes
dead,baby,a,a,rarely
pink,paper,a,a,almost always
hotel,room,a,a,never
hot,cereal,,,never
baby,fish,a,a,rarely
ocean,book,a,an,rarely
tape,recorder,a,a,often
suite,room,a,a,almost always
purple,edge,an,a,never
rock,honey,,,almost always
yellow,lady,a,a,never
metal,door,a,a,often
telephone,cord,a,a,rarely
tail,piece,a,a,rarely
garden,hose,a,a,often
water,boil,a,a,never
cotton,lining,a,a,about half the time
red,berry,a,a,about half the time
dolly,clothes,,,often
top,tooth,a,a,always
raisin,cookie,a,a,sometimes
purple,mom,a,a,rarely
bubble,bath,a,a,never
exit,entrance,an,an,always
bear,home,a,a,never
smiley,sticker,a,a,rarely
slippery,leg,a,a,often
hot,strawberry,a,a,sometimes
giant,dragon,a,a,often
pear,yogurt,,,sometimes
red,honey,,,rarely
shoe,wax,,,about half the time
